custom_field_id,custom_field_name,issues_using_field
customfield_10000,Development,29
customfield_10100,Parent Link,3
customfield_10101,Target start,0
customfield_10102,Target end,0
customfield_10103,Original story points,0
customfield_10104,Epic Name,0
customfield_10105,Epic Status,0
customfield_10106,Epic Colour,0
customfield_10107,Epic Link,0
customfield_10108,Sprint,14
customfield_10109,Rank,29
customfield_10110,Story Points,17
customfield_10111,Team,0
customfield_10112,Multi-Select Source,7
customfield_10113,Multi-Select Destination,0
